socio_variable,air_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,year
pct_no_health_insurance,bad_aqi_day_pct,53,0.4510314158621761,0.0007003159778588008,0.46379854946302806,0.0004690953849845465,2020
pct_high_school_or_higher,median_aqi,53,-0.43218814518326376,0.0012306463205568508,-0.381126363371752,0.004868548443630009,2020
pct_no_health_insurance,aqi_90th_percentile,53,0.4212585658587998,0.0016821617332909654,0.40379453096528917,0.0027141585806600733,2020
pct_high_school_or_higher,bad_aqi_day_pct,53,-0.36626286621492987,0.006990789796833825,-0.29353987128506553,0.03290120789972815,2020
pct_no_health_insurance,median_aqi,53,0.3391709959403769,0.012975117881086294,0.2965520047593412,0.031067086534790296,2020
per_capita_income,bad_aqi_day_pct,53,-0.33644098736398964,0.01377048658916542,-0.3716953629422147,0.006136542637386665,2020
per_capita_income,median_aqi,53,-0.3130113097247453,0.0224836081773657,-0.3027699700452572,0.02754927563643076,2020
pct_bachelors_or_higher,bad_aqi_day_pct,53,-0.2704400519166808,0.0501653513853077,-0.2636482927936576,0.05645313692411314,2020
per_capita_income,aqi_90th_percentile,53,-0.24958015508314293,0.07150064301318064,-0.29868092119507555,0.02982278062225583,2020
poverty_rate_all_people,bad_aqi_day_pct,53,0.24883198337332002,0.0723824881867351,0.28831028233364664,0.0362989083199465,2020
mean_household_income,bad_aqi_day_pct,53,-0.24591316110124373,0.07590569646943046,-0.24150519024500672,0.08148216242922157,2020
pct_high_school_or_higher,aqi_90th_percentile,53,-0.23556516881844106,0.08950117617907433,-0.25725239572125114,0.06294205792390797,2020
pct_bachelors_or_higher,median_aqi,53,-0.22767362298005686,0.10109300454402603,-0.20486235310378215,0.1411519827672978,2020
pct_no_health_insurance,max_aqi,53,0.22319531178791013,0.10816873711128071,0.17059098034702072,0.221978888232023,2020
mean_household_income,aqi_90th_percentile,53,-0.22298482968863825,0.10851042129326623,-0.17354474918709012,0.21395859834001418,2020
median_household_income,bad_aqi_day_pct,53,-0.21147877032625814,0.12847889449999494,-0.2064167608005919,0.13809408024176706,2020
poverty_rate_all_people,median_aqi,53,0.20782528808633988,0.13536618471139436,0.20435014953065747,0.14217059235011126,2020
unemployment_rate,max_aqi,53,-0.20684330335996862,0.13726369201935407,0.008840450816391782,0.9499050811199525,2020
pct_bachelors_or_higher,aqi_90th_percentile,53,-0.20585759168975137,0.13918834648651887,-0.20311052940706803,0.14465845372968145,2020
unemployment_rate,median_aqi,53,0.1914474977199943,0.16967001670211362,0.2187891336104662,0.11549569937892448,2020
pct_bachelors_or_higher,pct_days_pm25_main_pollutant,53,0.18492401928670865,0.184961820144445,0.2684948093088385,0.05190506570370361,2020
mean_household_income,median_aqi,53,-0.17637312601947683,0.206470967796829,-0.09062118239894024,0.5187129987180787,2020
median_household_income,aqi_90th_percentile,53,-0.1723644503684907,0.21713874750470505,-0.14373313374095817,0.3045216644909784,2020
mean_household_income,pct_days_pm25_main_pollutant,53,0.17120454182823142,0.2202959519381142,0.24165810192394233,0.08128346237234187,2020
unemployment_rate,bad_aqi_day_pct,53,0.15837726618856812,0.2573499957799502,0.1965965931592778,0.15826573944723663,2020
median_household_income,pct_days_pm25_main_pollutant,53,0.15755607065204674,0.25985705140775345,0.24484365007211378,0.07723013725336098,2020
per_capita_income,pct_days_pm25_main_pollutant,53,0.15368071179512915,0.2719091934260482,0.23101272583385044,0.09605417128543599,2020
mean_household_income,max_aqi,53,-0.14511360053481048,0.29985141231800716,-0.098112753900178,0.48459657799270933,2020
pct_bachelors_or_higher,pct_days_ozone_main_pollutant,53,-0.14082269285974358,0.31452063045026696,-0.14673497136292024,0.29442565878798455,2020
mean_household_income,pct_days_ozone_main_pollutant,53,-0.13162281686437566,0.3474867830087682,-0.14817504505054294,0.28966048178367804,2020
pct_high_school_or_higher,max_aqi,53,0.1311393490866431,0.34927615113519667,0.005565862726827802,0.9684485720969515,2020
pct_no_health_insurance,pct_days_ozone_main_pollutant,53,-0.12622054809845734,0.36780249777440094,0.022458987650270306,0.8731763502729646,2020
median_household_income,median_aqi,53,-0.12497829701598141,0.37257356699947264,-0.045028156525920446,0.7488503340100819,2020
pct_high_school_or_higher,pct_days_ozone_main_pollutant,53,0.12343567650261106,0.3785497647140242,0.13335484922913748,0.3411228951910392,2020
median_household_income,pct_days_ozone_main_pollutant,53,-0.12201250260523568,0.38411367801319807,-0.17366405661067985,0.21363896496356463,2020
poverty_rate_all_people,aqi_90th_percentile,53,0.1203485440941065,0.39068013315701156,0.22993284837649813,0.09766194362074132,2020
median_household_income,max_aqi,53,-0.11718260465808616,0.4033550315668771,-0.10008871976171058,0.4757990559248627,2020
per_capita_income,pct_days_ozone_main_pollutant,53,-0.10343850427957016,0.46108117269512894,-0.11288566986839131,0.4209346210099928,2020
pct_no_health_insurance,pct_days_pm25_main_pollutant,53,0.08675021864896026,0.5368009479363186,-0.07959085789568453,0.5710447631180069,2020
poverty_rate_all_people,max_aqi,53,-0.06046266491957573,0.6671428173845915,0.1240597719508762,0.37612512104101625,2020
poverty_rate_all_people,pct_days_ozone_main_pollutant,53,-0.046906639454616775,0.7387370025278432,0.05814493013627785,0.6791978720204395,2020
pct_high_school_or_higher,pct_days_pm25_main_pollutant,53,-0.046107878455935565,0.7430321078786079,-0.01165534068918785,0.9339854382488714,2020
pct_bachelors_or_higher,max_aqi,53,-0.0424133812403074,0.7629974183099645,0.014599129081713028,0.9173642667185388,2020
unemployment_rate,pct_days_pm25_main_pollutant,53,-0.03114709913116994,0.8247802515210719,-0.0024017123345583596,0.9863825144894935,2020
unemployment_rate,pct_days_ozone_main_pollutant,53,-0.029556643799750808,0.8335970121922386,-0.11570684252353511,0.40934397682303764,2020
per_capita_income,max_aqi,53,-0.017291596923001168,0.9021925440311489,-0.06726349095992475,0.632257712693802,2020
